001  00485 |Loss: 38.617 | Acc: 54.082% 
001  00486 |Loss: 38.617 | Acc: 54.095% 
001  00487 |Loss: 38.616 | Acc: 54.107% 
001  00488 |Loss: 38.617 | Acc: 54.088% 
001  00489 |Loss: 38.615 | Acc: 54.110% 
001  00490 |Loss: 38.615 | Acc: 54.082% 
001  00491 |Loss: 38.614 | Acc: 54.104% 
001  00492 |Loss: 38.614 | Acc: 54.126% 
001  00493 |Loss: 38.613 | Acc: 54.158% 
001  00494 |Loss: 38.612 | Acc: 54.170% 
001  00495 |Loss: 38.611 | Acc: 54.192% 
001  00496 |Loss: 38.610 | Acc: 54.234% 
001  00497 |Loss: 38.609 | Acc: 54.276% 
001  00498 |Loss: 38.608 | Acc: 54.297% 
001  00499 |Loss: 38.608 | Acc: 54.299% 
001  00500 |Loss: 38.607 | Acc: 54.310% 
001  00501 |Loss: 38.607 | Acc: 54.311% 
001  00502 |Loss: 38.606 | Acc: 54.303% 
001  00503 |Loss: 38.606 | Acc: 54.294% 
001  00504 |Loss: 38.605 | Acc: 54.296% 
001  00505 |Loss: 38.604 | Acc: 54.337% 
001  00506 |Loss: 38.602 | Acc: 54.387% 
001  00507 |Loss: 38.601 | Acc: 54.438% 
001  00508 |Loss: 38.600 | Acc: 54.478% 
001  00509 |Loss: 38.599 | Acc: 54.509% 
001  00510 |Loss: 38.598 | Acc: 54.539% 
001  00511 |Loss: 38.597 | Acc: 54.550% 
001  00512 |Loss: 38.596 | Acc: 54.580% 
001  00513 |Loss: 38.595 | Acc: 54.610% 
001  00514 |Loss: 38.594 | Acc: 54.621% 
001  00515 |Loss: 38.595 | Acc: 54.631% 
001  00516 |Loss: 38.594 | Acc: 54.641% 
001  00517 |Loss: 38.594 | Acc: 54.623% 
001  00518 |Loss: 38.592 | Acc: 54.672% 
